,district,socType,name,minGrade,cv_dist,cv_miles
103,San Diego Unified,High Schools (Public),Henry High,9.0,24271.907049189515,15.169941905743446
992,Escondido Union,Private,10X Academy,6.0,24351.422729179638,15.219639205737273
347,San Marcos Unified,Intermediate/Middle Schools (Public),Woodland Park Middle,6.0,24422.291254805572,15.263932034253482
699,Escondido Union High,High Schools (Public),Classical Academy High,9.0,24561.380953719134,15.350863096074459
187,San Diego Unified,Intermediate/Middle Schools (Public),Roosevelt International Middle,6.0,24603.977335077743,15.37748583442359
480,San Diego Unified,Intermediate/Middle Schools (Public),Wilson Middle,6.0,24726.246028702004,15.453903767938753
342,Carlsbad Unified,Intermediate/Middle Schools (Public),Valley Middle,6.0,24751.299002138967,15.469561876336854
880,Escondido Union High,Adult Education Centers,Escondido Adult,16.0,24774.44066317886,15.484025414486787
476,San Diego Unified,High Schools (Public),Hoover High,9.0,25131.419040916022,15.707136900572515
674,San Diego Unified,High Schools (Public),Health Sciences High and Middle College,9.0,25141.620306285262,15.713512691428289
336,Carlsbad Unified,High Schools (Public),Carlsbad High,9.0,25168.518915289907,15.730324322056193
343,Carlsbad Unified,Continuation High Schools,Carlsbad Village Academy,10.0,25168.518915289907,15.730324322056193
341,Carlsbad Unified,Alternative Schools of Choice,Carlsbad Seaside Academy,9.0,25168.518915289907,15.730324322056193
331,Vista Unified,Intermediate/Middle Schools (Public),Madison Middle,6.0,25179.480662058682,15.737175413786677
123,Carlsbad Unified,Intermediate/Middle Schools (Public),Calavera Hills Middle,6.0,25337.52309948797,15.835951937179981
367,Escondido Union,Intermediate/Middle Schools (Public),Mission Middle,6.0,25910.07231251534,16.19379519532209
355,Escondido Union High,High Schools (Public),Escondido High,9.0,25924.82878443606,16.20301799027254
707,Carlsbad Unified,Private,Army and Navy Academy,7.0,26045.05897673405,16.27816186045878
748,San Diego Unified,Private,St. Augustine High School,9.0,26113.98397243955,16.321239982774717
478,San Diego Unified,Intermediate/Middle Schools (Public),Mann Middle,6.0,26125.70686579149,16.32856679111968
98,San Diego Unified,Intermediate/Middle Schools (Public),Pershing Middle,6.0,26188.436134575582,16.36777258410974
623,San Diego Unified,K-12 Schools (Public),City Heights Preparatory Charter,6.0,26251.903748460598,16.407439842787873
90,Grossmont Union High,Alternative Schools of Choice,Grossmont Middle College High,11.0,26324.971081971646,16.45310692623228
700,San Diego Unified,High Schools (Public),King-Chavez Community High,9.0,26474.77572355134,16.546734827219588
